   r(mas)        I/I0_B        I/I0_V        I/I0_R        I/I0_I        I/I0_H        I/I0_K
5.3294352e-01 8.1066500e-01 8.5317740e-01 8.7845340e-01 9.0315160e-01 9.5053930e-01 9.5841560e-01
5.3422693e-01 8.0970370e-01 8.5241280e-01 8.7774200e-01 9.0263490e-01 9.5024890e-01 9.5815380e-01
5.3550570e-01 8.0873640e-01 8.5162500e-01 8.7712890e-01 9.0208930e-01 9.4986720e-01 9.5789640e-01
5.3677984e-01 8.0774900e-01 8.5078900e-01 8.7648420e-01 9.0156180e-01 9.4959900e-01 9.5775600e-01
5.3804941e-01 8.0680380e-01 8.5000890e-01 8.7577600e-01 9.0103410e-01 9.4936380e-01 9.5746190e-01
5.3931443e-01 8.0582460e-01 8.4922860e-01 8.7517930e-01 9.0051430e-01 9.4908990e-01 9.5724940e-01
5.4057493e-01 8.0485800e-01 8.4845390e-01 8.7449730e-01 9.0003460e-01 9.4879950e-01 9.5716600e-01
5.4183094e-01 8.0389650e-01 8.4771700e-01 8.7386420e-01 8.9952400e-01 9.4851550e-01 9.5665520e-01
5.4308250e-01 8.0293770e-01 8.4696950e-01 8.7319020e-01 8.9901060e-01 9.4822350e-01 9.5657180e-01
5.4432964e-01 8.0194400e-01 8.4615880e-01 8.7256020e-01 8.9846870e-01 9.4789360e-01 9.5637700e-01
5.4557238e-01 8.0095810e-01 8.4542780e-01 8.7192680e-01 8.9795460e-01 9.4769090e-01 9.5597760e-01
5.4681076e-01 8.0000620e-01 8.4464970e-01 8.7127240e-01 8.9742560e-01 9.4740300e-01 9.5592480e-01
5.4804480e-01 7.9902980e-01 8.4377060e-01 8.7055950e-01 8.9682810e-01 9.4711870e-01 9.5550380e-01
5.4927454e-01 7.9807890e-01 8.4304300e-01 8.6993190e-01 8.9631990e-01 9.4681750e-01 9.5538340e-01
5.5050000e-01 7.9709110e-01 8.4226120e-01 8.6928040e-01 8.9579000e-01 9.4643590e-01 9.5508540e-01
5.5172121e-01 7.9612290e-01 8.4154360e-01 8.6865060e-01 8.9530750e-01 9.4623410e-01 9.5490960e-01
5.5293821e-01 7.9515350e-01 8.4081650e-01 8.6805290e-01 8.9478460e-01 9.4598550e-01 9.5463870e-01
5.5415101e-01 7.9417490e-01 8.3993700e-01 8.6730040e-01 8.9420660e-01 9.4567030e-01 9.5441210e-01
5.5535965e-01 7.9324680e-01 8.3921260e-01 8.6672910e-01 8.9369260e-01 9.4542940e-01 9.5424610e-01
5.5656415e-01 7.9226070e-01 8.3848620e-01 8.6604840e-01 8.9313270e-01 9.4504770e-01 9.5391760e-01
5.5776454e-01 7.9126380e-01 8.3765270e-01 8.6535550e-01 8.9265300e-01 9.4478330e-01 9.5368780e-01
5.5896085e-01 7.9032260e-01 8.3690740e-01 8.6470750e-01 8.9217330e-01 9.4453380e-01 9.5350380e-01
5.6015310e-01 7.8933360e-01 8.3610090e-01 8.6408160e-01 8.9163030e-01 9.4420640e-01 9.5325420e-01
5.6134132e-01 7.8837500e-01 8.3531350e-01 8.6339340e-01 8.9114400e-01 9.4390770e-01 9.5294540e-01
5.6252553e-01 7.8741300e-01 8.3450930e-01 8.6280090e-01 8.9057000e-01 9.4365100e-01 9.5271430e-01
5.6370576e-01 7.8642700e-01 8.3373810e-01 8.6211730e-01 8.9003080e-01 9.4338980e-01 9.5251400e-01
5.6488203e-01 7.8545380e-01 8.3301620e-01 8.6146430e-01 8.8947190e-01 9.4313960e-01 9.5216540e-01
5.6605437e-01 7.8449730e-01 8.3223160e-01 8.6081600e-01 8.8892810e-01 9.4280970e-01 9.5205320e-01
5.6722281e-01 7.8351350e-01 8.3139960e-01 8.6015920e-01 8.8841910e-01 9.4242900e-01 9.5176930e-01
5.6838736e-01 7.8256200e-01 8.3060510e-01 8.5950570e-01 8.8790790e-01 9.4212460e-01 9.5150430e-01
